S/N,ID,Gender,MA80141,MA80142,MA80143,CH80141,CS80141,CT80111,PE80141,FE80141,CL80111,total,percentage,rank
106,225062948,M,75.44,83.15,85.75,76.75,81.15,81,66.1,83.39,64,632.73,79.43,1
122,225070681,F,78.96,74.04,93,80.38,79.75,76.5,78.5,80.8,76,641.93,79.07,2
68,225042550,F,81.13,82.51,79.5,78.63,75.9,79,71,83.56,61,631.23,78.8,3
82,225052467,M,66.63,66.23,75.5,81.25,81.2,84,80.1,86.38,72,621.29,78.58,4
95,225057883,F,75.15,68.45,88,78.5,82.8,85,65.5,89.6,72,633,78.3,5
85,225053056,M,80.53,77.98,81.75,88.75,70.7,84,64.7,81.52,73,629.93,78.22,6
43,225032938,M,78.89,69.33,87.25,70.7,86.3,84.5,70.5,85.65,70,633.12,77.9,7
38,225030647,M,71.19,74.87,75.5,86.07,71.2,84.5,64.6,88.3,78,616.23,77.82,8
36,225030123,F,75.44,78.83,80.5,73.94,72.4,81,69,89.8,70,620.91,77.8,9
128,225075649,M,80.28,72.17,79,86.63,76.05,79.5,69,81.12,78,623.75,77.15,10
10,225022726,M,78.44,67.31,85.25,72.44,82.15,83.5,73.1,82.18,76,624.37,76.71,11
80,225052342,M,67.04,65.35,77,76.75,76.85,85,75,86.36,73,609.35,76.64,12
17,225024211,M,77.62,76.63,47.5,78.44,82.1,85,68,84.12,84,599.41,76.62,13
99,225059701,M,76.69,70.49,73.5,81.5,80.45,79,68,83.84,71,613.47,76.47,14
44,225033202,M,82.04,70.08,83.25,81.7,66.8,83,69.8,87.16,70,623.83,76.46,15
84,225052784,M,68.92,69.57,80.25,85.63,74.4,86,64.8,79.86,73,609.43,76.45,16
32,225027528,F,74.83,70.25,75.25,82.82,74.9,82.5,66.6,84.83,73,611.98,76.38,17
31,225026824,M,79.58,72.62,80,82.57,78.45,87,57.1,80.08,76,617.4,76.3,18
33,225027677,F,67.3,60.7,79.5,75.19,84.4,83,74.1,86.49,61,610.68,76.28,19
67,225041784,F,73.16,76.8,82.75,76.63,73.05,78,66.1,81.99,71,608.48,76.05,20
48,225034174,M,70.07,73.12,81.5,73.95,66.5,79,75.1,87.01,70,606.25,76.01,21
125,225073971,M,76.61,71.29,77,63.25,81.15,86.5,72.8,81.47,69,610.07,75.8,22
94,225057589,M,79.76,71.82,78.5,77,83.75,76.5,64.1,81.43,73,612.86,75.68,23
70,225045373,M,70.84,71.38,80,73.38,72.65,85,66,84.65,68,603.9,75.54,24
90,225055987,M,78.35,69.9,70.75,78.13,80.25,81,67.8,80.65,75,606.83,75.44,25
57,225037832,M,70.62,62.12,78,78.25,76.6,85,73.1,82.55,84,606.24,75.38,26
41,225032381,F,73.43,65.75,85.75,74.33,67.3,89,67,87.86,82,610.42,75.28,27
18,225024227,M,78.87,58.67,70,84.94,85.1,86,67.5,80.24,67,611.32,75.26,28
126,225074943,F,72.96,63.17,79,71.25,88.05,84,67.8,79.85,70,606.08,75.03,29
35,225028479,M,73.01,59.12,82.5,74.82,72.6,83,77.8,85.33,60,608.18,74.78,30
21,225024787,F,56.75,67.84,82.25,69.25,76.5,80,65.8,88.5,70,586.89,74.7,31
11,225022997,F,73.51,62.3,71,71.19,79.55,86,65.8,89.62,70,598.97,74.44,32
46,225033305,F,82.46,66.16,83,66.2,79.2,83.5,65,86.19,76,611.71,74.4,33
54,225037139,F,71.51,70.45,76,72.63,68,81.5,66.1,87.42,69,593.61,74.19,34
26,225025713,M,68.39,60.3,84,70.63,80.9,87,70.6,76.4,79,598.22,74,35
60,225039264,F,69.55,64.5,79.25,70,76.45,81.5,72,81.49,74,594.74,73.97,36
24,225025393,F,70.17,62.96,73,67.75,64.2,88,77.5,89.01,67,592.59,73.92,37
79,225051720,F,70.94,61.26,72.75,79.13,73,82.5,67.5,86.59,71,593.67,73.86,38
42,225032844,F,64.21,61.54,77.5,74.2,72.45,81,70.5,87.29,72,588.69,73.79,39
129,225076229,M,73.21,67.5,76.5,77.13,70.4,78,68.6,82.8,69,594.14,73.78,40
51,225034776,M,69.48,71,73.5,73.25,71.55,84.5,66.7,76.7,52,586.68,73.71,41
105,225062369,M,63.52,62.24,74.6,71.75,71.45,76.5,79.1,85.74,75,584.9,73.6,42
34,225027731,M,71.62,67.58,78,66.44,77.4,85,66,79.34,61,591.38,73.51,43
87,225054067,M,74.38,63.94,72.25,75.63,79.7,77,68.6,81.06,72,592.56,73.43,44
52,225036148,M,72.3,73.04,74.25,72.88,75.1,78.5,63,77.26,67,586.33,73.35,45
50,225034770,M,71,67.45,78.75,74.45,66.75,83,61.1,87.3,59,589.8,73.31,46
58,225037942,M,58.76,63.75,74.25,72.63,77.15,79.5,70.5,79.9,76,576.44,73.2,47
92,225056786,F,72.37,62.11,71.5,76,72.15,80,69.6,85.76,71,589.49,73.2,48
19,225024255,M,65.69,59.09,80.5,71.82,80.75,84.5,69.1,76.17,65,587.62,73.03,49
28,225026059,M,69.21,66.26,73.3,72.13,67.95,77.5,77.6,79.52,63,583.47,72.96,50
15,225023917,M,70.87,61.09,75,81.19,70.85,78,69.6,80.29,68,586.89,72.72,51
8,225022543,F,72.33,59.44,73.75,71.44,79.15,81,70.7,80.57,72,588.38,72.7,52
96,225057951,M,72.98,61.61,73.75,70.75,71.75,84.5,68,84.11,75,587.45,72.63,53
123,225072409,F,74.64,62.54,70.5,74.75,72.95,83,65.6,82.98,84,586.96,72.62,54
127,225075058,F,77.28,70.54,78,80.25,71.65,72.5,58.5,80.09,77,588.81,72.54,55
142,225088915,M,70.42,61.29,76.5,65.88,76.75,76,72.1,86.72,66,585.66,72.52,56
103,225061922,F,66.66,59.2,76.25,67.5,74.4,76,79.8,81.83,64,581.64,72.35,57
14,225023676,M,68.83,62.96,77.75,68.69,71.75,85,58,88.98,65,581.96,72.25,58
47,225033483,F,72.25,60.45,81.25,71.95,69.25,80.5,70.5,79.95,64,586.1,71.92,59
78,225051565,M,65.94,57.68,76.5,72.13,77.15,80,69,80.08,62,578.48,71.88,60
140,225084704,M,77.92,58.63,75.75,69.88,71.95,81.5,71.8,81.53,69,588.96,71.78,61
116,225066387,M,76.58,67.29,75.75,69.63,74.1,74,58.8,86.51,74,582.66,71.69,62
40,225032183,F,75.44,65.16,73.5,72.82,66.85,78.5,66.8,81.95,65,581.02,71.63,63
62,225039755,M,66.13,56.34,69.5,76.63,66.2,84,70,84.01,64,572.81,71.44,64
12,225023041,M,74.9,57.01,72.5,68.19,73.1,83,68.6,85.31,61,582.61,71.42,65
100,225059876,M,60.8,51.24,65,64.63,89.45,75.5,73.6,85.98,68,566.2,71.22,66
124,225073408,M,60.86,56.08,67.75,69.38,69.5,80.5,75,85.54,76,564.61,71.13,67
130,225076937,F,80.71,67.83,82.75,68.25,71.6,70,64.7,80.11,79,585.95,71.11,68
74,225050016,F,52.94,54.1,74.25,73.88,78.35,81,59.2,85.88,63,559.6,70.94,69
23,225025342,M,64.67,57.88,69.25,72.25,72.2,78,71,81.42,74,566.67,70.9,70
91,225056056,M,77.69,59.55,66,69.25,70.8,82,64.8,86.63,77,576.72,70.83,71
112,225065397,M,63.65,62.88,74,73.25,72.6,74.5,60,84.18,67,565.06,70.83,72
77,225051449,F,72.01,57.39,77.5,65,63.2,79.5,78.6,83.81,80,577.01,70.71,73
61,225039289,M,73.27,67.67,71.75,79.13,65.95,69,62.8,79.56,58,569.13,70.55,74
139,225084535,M,65.6,51,68.75,76.63,73.55,75,76.1,80.93,80,567.56,70.44,75
101,225060651,M,78.8,60.28,73.25,72.88,67.8,77,71.1,77.21,75,578.32,70.43,76
117,225068304,F,73.9,54.92,71,75.5,70.35,75.5,70.5,82.35,62,574.02,70.3,77
88,225054313,F,71.1,53.44,74.75,73.75,68.95,76,71,84.08,72,573.07,70.19,78
104,225062169,F,69.55,57.49,72.75,70.25,77.85,69.5,72.1,77.88,64,567.37,70.03,79
64,225040116,M,68.84,66.84,69,64.38,66.05,75.5,76.6,72.47,75,559.68,69.97,80
66,225041293,M,70.16,57.8,78.25,73.13,69.95,76,70.5,74.24,60,570.03,69.95,81
86,225053709,M,68.13,53.15,68,70.13,74.2,82,65.5,83.51,73,564.62,69.87,82
72,225047348,M,72.33,67.01,74,64.38,63.75,70,69.7,82.31,61,563.48,69.67,83
98,225059574,M,73.19,56.61,66.5,65.63,68.4,80.5,66,87.83,77,564.66,69.5,84
119,225068552,M,56.65,65,74,64.25,72.6,76,57.6,80.95,70,547.05,69.41,85
141,225086702,M,66.03,57.67,66,60.25,68.85,76.5,75,85.29,69,555.59,69.34,86
76,225051330,F,74.04,60.64,72.5,64.5,67.9,77.5,64.8,82.88,64,564.76,69.26,87
20,225024439,F,68.98,50,83.5,64.32,76.75,81.5,72.5,72.89,73,570.44,69.24,88
81,225052369,F,56.38,50,67.5,74.88,72.35,76,70.8,81.93,81,549.84,69.24,89
138,225084238,F,52.71,57.63,66.5,68.75,77.35,71,68.8,78.36,66,541.1,69.14,90
89,225055171,M,52.71,50.78,66.5,80.25,67.55,83,63.1,80.63,85,544.52,69.13,91
27,225025910,M,56.46,61.51,70,73,66.45,67,78.1,71.97,61,544.49,69.11,92
73,225049225,F,67.04,50.04,74.75,66.38,81,68.5,68,87.13,72,562.84,69.06,93
118,225068379,M,64.76,58.29,71.25,70.5,69.6,79.5,60,79.78,85,553.68,68.92,94
9,225022640,M,67.51,59.35,80.5,63.19,68.45,70.5,66,84.7,61,560.2,68.87,95
13,225023319,M,55.9,63.01,69.5,63.69,57.05,83.5,65.5,83.04,69,541.19,68.86,96
120,225068988,F,72.94,57.04,71.5,72.25,70.2,67,64.6,85.92,80,561.45,68.75,97
135,225081410,F,66,51.5,68,69.5,72,79.5,66.6,82.13,80,555.23,68.71,98
109,225063857,M,74.09,50.88,68.75,62.13,78.2,77.5,71.5,80.63,71,563.68,68.66,99
121,225070277,M,70.96,50.58,77,74.5,79.15,70.5,64.6,76.9,77,564.19,68.58,100
30,225026801,F,69.35,50.14,76.75,58.88,77.9,77,70.6,81.9,59,562.52,68.55,101
16,225024185,F,66.76,56.09,67.5,69.44,72.95,77,58.1,84.01,77,551.85,68.48,102
56,225037458,M,73.15,53.83,64.5,73.63,68.8,75,68.6,80.16,65,557.67,68.45,103
65,225041090,M,67.45,43.67,63,63.88,84.85,77.5,69,86.54,76,555.89,68.4,104
108,225063275,M,59.02,64.83,67,69.5,68.4,72,67.6,70.36,75,538.71,68.37,105
110,225064100,F,72.23,61.38,65,58.25,73.35,67.5,73.8,80.76,78,552.27,68.32,106
39,225031680,M,63.15,59.54,61.75,71.94,65.2,80,66.1,73.03,67,540.71,68.06,107
63,225039861,M,65.09,62.47,74,61.13,70.75,69.5,68,76.06,75,547,68.02,108
55,225037319,F,70.15,61.5,76.25,56.88,69.9,77.5,66.8,74.49,71,553.47,68,109
111,225065016,F,54.73,52.21,70.25,65.75,68.15,75.5,67,86.06,75,539.65,67.99,110
136,225082227,F,66.42,54.79,70.5,62.75,70.1,70.5,67,87.29,70,549.35,67.87,111
114,225065823,M,72.76,57.38,66.5,61.75,78.05,71.5,69.5,74.85,71,552.29,67.85,112
59,225038246,F,68.12,55.25,70,64.75,71.45,79,62,79.68,63,550.25,67.82,113
131,225077170,F,71.17,53.54,76.5,55.5,77.4,78.5,63,81.44,81,557.05,67.77,114
69,225044034,M,72.2,54.22,71.25,64.38,67.15,79.5,74.1,71.88,68,554.68,67.71,115
53,225036211,M,70.55,61.5,76,65.38,59.4,76.5,64.8,75.59,63,549.72,67.42,116
37,225030547,F,77.12,58.16,78.75,61.57,68.5,70,65,79.26,70,558.36,67.28,117
137,225082950,F,57.5,56.38,64.25,61.5,63.55,75.5,70.8,80.8,68,530.28,66.98,118
49,225034292,F,72.46,55.66,71.5,60.83,63.3,70,73.1,80.92,77,547.77,66.77,119
132,225077491,M,52.35,50.21,68.5,60.5,72.6,68,70,83.27,67,525.43,66.28,120
133,225079303,M,65.67,60.13,70.25,64.38,64.95,70.5,62.6,75.11,54,533.59,66.12,121
83,225052500,F,73.06,53.15,69.75,61.38,64.4,80.5,63.1,78.36,69,543.7,66.05,122
25,225025459,M,73.25,63.76,65.75,55.88,67.05,75,61.6,74.16,67,536.45,66.03,123
75,225050694,M,67.69,50.04,76.25,54.13,77.15,75,66.8,75.75,74,542.81,66,124
115,225065859,F,66.15,54.83,68.5,69.75,73.8,68.5,57,75.77,68,534.3,65.9,125
1,217113346,M,61.79,50.13,66,53.69,67.45,74.5,79.8,76.12,68,529.48,65.68,126
107,225063116,F,59.16,44.57,61,67.38,68.4,69,76.5,77.44,67,523.45,65.15,127
2,224021405,F,53.72,50,71.5,50,85.25,63.5,70.06,71.88,69.75,515.91,64.49,128
93,225057059,M,74.4,50.11,64.25,61.38,56.2,70,70.5,82.18,76,529.02,63.94,129
113,225065410,F,68.01,50.33,56.25,68.63,65.6,66.5,60.5,76.66,73,512.48,63.07,130
134,225081235,F,63.42,54.46,67,58.75,62.8,68.5,57.6,73.67,71,506.2,62.36,131
102,225061635,M,58.52,42.03,63.25,55.5,69.6,70.5,71.5,74.7,64,505.6,62.35,132
3,224021437,M,66.61,55.83,69,50,85.25,60.5,57.32,63.04,67.5,507.55,62.05,133
5,224021512,M,60.02,50.43,69.75,50,62.63,,52.7,55.46,58.38,400.99,58.38,134
7,224021548,M,72.59,54.19,70.75,50,65.5,59.5,57.08,56.53,52.5,486.14,57.9,135
4,224021492,M,79.15,50.9,74,50,77.13,55,57.33,50.49,58.13,494,57.61,136
6,224021538,F,80.01,50.38,76.25,50,72.63,52.5,57.08,56.53,64,495.38,57.49,137
97,225058774,F,50.4,38.53,55.75,50.75,62.6,69,53.1,79.67,74,459.8,57.26,138
29,225026276,M,26.28,34.8,42,29.13,41.9,37,,43.27,,254.38,41.3,139
71,225047105,F,19.63,29.85,47,17.63,40.4,38.5,,44.09,,237.1,37.51,140
22,225024911,M,,,0,,,,,18.8,,18.8,12.96,141
45,225033297,F,,,21.5,,,,,0,,21.5,10.69,142
